family,family_label,split,task,task_label,budget,metric_file_count,rollout_count,seed_count,train_config_count,success_at_0p5cm_count,success_at_0p5cm,success_at_0p5cm_pct,success_at_1cm_count,success_at_1cm,success_at_1cm_pct,success_at_2cm_count,success_at_2cm,success_at_2cm_pct,success_at_5cm_count,success_at_5cm,success_at_5cm_pct,nearest_distance_m,nearest_distance_m_file_mean,nearest_distance_m_file_std,nearest_distance_m_file_ci95,end_distance_m,end_distance_m_file_mean,end_distance_m_file_std,end_distance_m_file_ci95,mean_steps,mean_steps_file_mean,mean_steps_file_std,mean_steps_file_ci95,nearest_distance_cm,end_distance_cm
frozen_resnet18,Frozen ResNet-18,ood,avoid_reach,Obstacle-aware reach,5,24,3600,3,8,1,0.0002777777777777778,0.027777777777777776,47,0.013055555555555556,1.3055555555555556,182,0.050555555555555555,5.055555555555555,1592,0.44222222222222224,44.22222222222222,0.08093777201060827,0.08093777201060827,0.04321237177645972,0.017288549366535996,0.20682448408928597,0.20682448408928597,0.09287700360256262,0.037158540385269195,400.0,400.0,0.0,0.0,8.093777201060828,20.682448408928597
frozen_resnet18,Frozen ResNet-18,ood,avoid_reach,Obstacle-aware reach,20,24,3600,3,8,6,0.0016666666666666668,0.16666666666666669,10,0.002777777777777778,0.2777777777777778,204,0.056666666666666664,5.666666666666666,1999,0.5552777777777778,55.52777777777778,0.08358217496919679,0.08358217496919679,0.05651026264595397,0.022608813756497113,0.2267611956047929,0.2267611956047929,0.10955838808877283,0.0438324841503536,400.0,400.0,0.0,0.0,8.358217496919679,22.67611956047929
frozen_resnet18,Frozen ResNet-18,ood,avoid_reach,Obstacle-aware reach,50,24,3600,3,8,47,0.013055555555555556,1.3055555555555556,157,0.043611111111111114,4.361111111111112,280,0.07777777777777778,7.777777777777778,2388,0.6633333333333333,66.33333333333333,0.061807355527934205,0.061807355527934205,0.02797055882662748,0.011190554167803792,0.18839917748649088,0.18839917748649085,0.0778087171302547,0.031129970236580522,400.0,400.0,0.0,0.0,6.18073555279342,18.83991774864909
frozen_resnet18,Frozen ResNet-18,ood,avoid_reach,Obstacle-aware reach,100,8,1200,1,8,1,0.0008333333333333334,0.08333333333333334,5,0.004166666666666667,0.4166666666666667,19,0.015833333333333335,1.5833333333333335,874,0.7283333333333334,72.83333333333334,0.06386194378409224,0.06386194378409224,0.036930596725343004,0.025591597870200627,0.170855791393357,0.17085579139335702,0.055958497418673696,0.038777260329959,400.0,400.0,0.0,0.0,6.386194378409224,17.0855791393357
frozen_resnet18,Frozen ResNet-18,ood,avoid_reach,Obstacle-aware reach,200,8,1200,1,8,3,0.0025,0.25,11,0.009166666666666667,0.9166666666666666,35,0.029166666666666667,2.9166666666666665,882,0.735,73.5,0.05810006226830107,0.05810006226830107,0.029001858015392297,0.020097262260299453,0.1955377999972552,0.1955377999972552,0.08238111901494191,0.057087202939257425,400.0,400.0,0.0,0.0,5.810006226830107,19.55377999972552
frozen_resnet18,Frozen ResNet-18,ood,reach,Reach,5,24,3600,3,8,129,0.035833333333333335,3.5833333333333335,505,0.14027777777777778,14.027777777777779,1444,0.4011111111111111,40.11111111111111,2621,0.7280555555555556,72.80555555555556,0.049733262735567725,0.049733262735567725,0.04631337267947632,0.01852920811757175,0.30656741809643184,0.30656741809643184,0.043298884017029284,0.017323161471366384,400.0,400.0,0.0,0.0,4.973326273556773,30.656741809643183
frozen_resnet18,Frozen ResNet-18,ood,reach,Reach,20,24,3600,3,8,21,0.005833333333333334,0.5833333333333334,337,0.09361111111111112,9.361111111111112,1502,0.4172222222222222,41.72222222222222,2663,0.7397222222222222,73.97222222222221,0.04157428798726566,0.04157428798726566,0.032348471191270656,0.012942083901696651,0.3009160871605693,0.3009160871605693,0.055626207562823375,0.02225511805966044,399.83944444444444,399.8394444444445,0.5439697230373428,0.21763321530421437,4.157428798726566,30.09160871605693
frozen_resnet18,Frozen ResNet-18,ood,reach,Reach,50,24,3600,3,8,132,0.03666666666666667,3.6666666666666665,454,0.12611111111111112,12.611111111111112,1641,0.4558333333333333,45.58333333333333,2909,0.8080555555555555,80.80555555555556,0.03415447143638933,0.03415447143638933,0.025574098467704254,0.010231770340002866,0.2874403007777841,0.2874403007777841,0.07148489317657944,0.028599913724663816,399.91777777777776,399.91777777777776,0.40280497992434977,0.16115555555555752,3.415447143638933,28.744030077778408
frozen_resnet18,Frozen ResNet-18,ood,reach,Reach,100,8,1200,1,8,6,0.005,0.5,304,0.25333333333333335,25.333333333333336,571,0.47583333333333333,47.583333333333336,1001,0.8341666666666666,83.41666666666666,0.031319766705467676,0.031319766705467676,0.024496872308794725,0.01697546643686151,0.2909898551382745,0.2909898551382745,0.07807478622658352,0.05410306656489712,400.0,400.0,0.0,0.0,3.1319766705467678,29.09898551382745
frozen_resnet18,Frozen ResNet-18,ood,reach,Reach,200,8,1200,1,8,185,0.15416666666666667,15.416666666666668,319,0.2658333333333333,26.583333333333332,721,0.6008333333333333,60.083333333333336,1047,0.8725,87.25,0.026494110211594184,0.026494110211594184,0.022234633665578603,0.015407815037286743,0.2652797005100486,0.2652797005100486,0.07309895748230485,0.05065499316273678,400.0,400.0,0.0,0.0,2.6494110211594184,26.52797005100486
partial_resnet18,Partial ResNet-18,id,avoid_reach,Obstacle-aware reach,5,24,3600,3,8,1,0.0002777777777777778,0.027777777777777776,4,0.0011111111111111111,0.1111111111111111,30,0.008333333333333333,0.8333333333333334,669,0.18583333333333332,18.583333333333332,0.09743940380725286,0.09743940380725286,0.048529963880599034,0.019416029294717023,0.3347406417452213,0.3347406417452213,0.22842566628305389,0.09138930000296312,400.0,400.0,0.0,0.0,9.743940380725286,33.47406417452213
